Point Name,Code,Northing,Easting,Elevation,Latitude,Longitude,Altitude,Station Correction x,Station Correction y,Station Correction h,Original Latitude,Original Longitude,Original Altitude,Measuring type,Measuring height,Antenna Height,AGE,Local time,Solution Status,Used satellites,Tracked satellites,Measurement Method,Repeat Count,N,E,HRMS,VRMS,PDOP,HDOP,VDOP,Base ID,Base Latitude,Base Longitude,Base Altitude,Distance to Ref,Inclination correction,Pitch,Roll,Yaw,Inclined angle,Projected angle
Pt1,,149654.6542,353279.7573,25.0202,1.3530676666666667,103.6817417777777778,25.0202,,,,1.3530676666666667,103.6817417777777778,27.0862,Pole Height,2.0000,2.0660,1,2026-05-26 10:05:17.000,FIXED,41,41,Smooth Point,5,0.0004,0.0006,0.0041,0.0092,0.8000,0.7000,0.7000,11,1.3457911388888889,103.6799768611111111,76.2458,829.6933,Not Set,0.00000000,0.00000000,0.00000000,0°0000.0000,0°0000.0000
Pt2,,149685.1716,353293.5919,24.5636,1.3533436666666667,103.6818659166666667,24.5636,,,,1.3533436666666667,103.6818659166666667,26.6296,Pole Height,2.0000,2.0660,1,2026-05-26 10:17:05.000,FIXED,42,42,Smooth Point,5,0.0006,0.0006,0.0042,0.0100,0.8000,0.7000,0.7000,11,1.3457911388888889,103.6799768611111111,76.2458,862.6084,Not Set,0.00000000,0.00000000,0.00000000,0°0000.0000,0°0000.0000
Pt3,,149704.5056,353319.0084,24.3921,1.3535185833333333,103.6820941388888889,24.3921,,,,1.3535185833333333,103.6820941388888889,26.4581,Pole Height,2.0000,2.0660,1,2026-05-26 10:24:50.000,FIXED,40,40,Smooth Point,5,0.0006,0.0006,0.0042,0.0100,0.8000,0.7000,0.7000,11,1.3457911388888889,103.6799768611111111,76.2458,887.7593,Not Set,0.00000000,0.00000000,0.00000000,0°0000.0000,0°0000.0000
Pt4,,149677.8449,353276.9778,24.7995,1.3532773333333333,103.6817166944444444,24.7995,,,,1.3532773333333333,103.6817166944444444,26.8655,Pole Height,2.0000,2.0660,1,2026-05-26 10:37:38.000,FIXED,42,43,Smooth Point,5,0.0006,0.0006,0.0042,0.0100,0.8000,0.7000,0.7000,11,1.3457911388888889,103.6799768611111111,76.2458,851.5680,Not Set,0.00000000,0.00000000,0.00000000,0°0000.0000,0°0000.0000
Pt5,,149662.2300,353294.7804,24.7107,1.3531362500000000,103.6818766944444444,24.7107,,,,1.3531362500000000,103.6818766944444444,26.7767,Pole Height,2.0000,2.0660,1,2026-05-26 10:42:54.000,FIXED,42,42,Smooth Point,5,0.0006,0.0006,0.0042,0.0100,0.8000,0.7000,0.7000,11,1.3457911388888889,103.6799768611111111,76.2458,840.7163,Not Set,0.00000000,0.00000000,0.00000000,0°0000.0000,0°0000.0000
Pt6,,149662.2029,353294.7895,25.1157,1.3531360000000000,103.6818767777777778,25.1157,,,,1.3531360000000000,103.6818767777777778,27.1817,Pole Height,2.0000,2.0660,1,2026-05-26 10:43:55.000,FIXED,42,42,Smooth Point,5,0.0004,0.0006,0.0036,0.0090,0.8000,0.7000,0.7000,11,1.3457911388888889,103.6799768611111111,76.2458,840.6687,Not Set,0.00000000,0.00000000,0.00000000,0°0000.0000,0°0000.0000
