fid,id,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Code,Northing,Easting,Elevation,Latitude,Longitude,Altitude,Station_Correction_x,Station_Correction_y,Station_Correction_h,Original_Latitude,Original_Longitude,Original_Altitude,Measuring_type,Measuring_height,Antenna_Height,AGE,Local_time,Solution_Status,Used_satellites,Tracked_satellites,Measurement_Method,Repeat_Count,N,E,HRMS,VRMS,PDOP,HDOP,VDOP,Base_ID,Base_Latitude,Base_Longitude,Base_Altitude,Distance_to_Ref,Inclination_correction,Pitch,Roll,Yaw,Inclined_angle,Projected_angle,SRTM_Height
1,,Sniffer 1,"Code: <br>Northing: 149,654.654<br>Easting: 353,279.757<br>Elevation: 25.02<br>Latitude: 1.3530677<br>Longitude: 103.6817418<br>Altitude: 25.02<br>Station Correction x: <br>Station Correction y: <br>Station Correction h: <br>Original Latitude: 1.353<br>Original Longitude: 103.682<br>Original Altitude: 27.086<br>Measuring type: Pole Height<br>Measuring height: 2<br>Antenna Height: 2.066<br>AGE: 1<br>Local time: 2026-05-26 10:05:17.000<br>Solution Status: FIXED<br>Used satellites: 41<br>Tracked satellites: 41<br>Measurement Method: Smooth Point<br>Repeat Count: 5<br>N: 0<br>E: 0.001<br>HRMS: 0.004<br>VRMS: 0.009<br>PDOP: 0.8<br>HDOP: 0.7<br>VDOP: 0.7<br>Base ID: 11<br>Base Latitude: 1.346<br>Base Longitude: 103.68<br>Base Altitude: 76.246<br>Distance to Ref: 829.693<br>Inclination correction: Not Set<br>Pitch: 0<br>Roll: 0<br>Yaw: 0<br>Inclined angle: 0°0000.0000<br>Projected angle: 0°0000.0000",,,,,-1,0,-1,,,,"149654.6542","353279.7573","25.0202","1.3530677","103.6817418","25.0202",,,,"1.3530676666666668","103.68174177777777","27.0862",Pole Height,"2.0","2.066","1.0",2026-05-26 10:05:17.000,FIXED,"41.0","41.0",Smooth Point,"5.0","4.0E-4","6.0E-4","0.0041","0.0092","0.8","0.7","0.7","11.0","1.3457911388888888","103.67997686111111","76.2458","829.6933",Not Set,"0.0","0.0","0.0","0°0000.0000","0°0000.0000",27
2,,Sniffer 2,"Code: <br>Northing: 149,685.172<br>Easting: 353,293.592<br>Elevation: 24.564<br>Latitude: 1.3533437<br>Longitude: 103.6818659<br>Altitude: 24.564<br>Station Correction x: <br>Station Correction y: <br>Station Correction h: <br>Original Latitude: 1.353<br>Original Longitude: 103.682<br>Original Altitude: 26.63<br>Measuring type: Pole Height<br>Measuring height: 2<br>Antenna Height: 2.066<br>AGE: 1<br>Local time: 2026-05-26 10:17:05.000<br>Solution Status: FIXED<br>Used satellites: 42<br>Tracked satellites: 42<br>Measurement Method: Smooth Point<br>Repeat Count: 5<br>N: 0.001<br>E: 0.001<br>HRMS: 0.004<br>VRMS: 0.01<br>PDOP: 0.8<br>HDOP: 0.7<br>VDOP: 0.7<br>Base ID: 11<br>Base Latitude: 1.346<br>Base Longitude: 103.68<br>Base Altitude: 76.246<br>Distance to Ref: 862.608<br>Inclination correction: Not Set<br>Pitch: 0<br>Roll: 0<br>Yaw: 0<br>Inclined angle: 0°0000.0000<br>Projected angle: 0°0000.0000",,,,,-1,0,-1,,,,"149685.1716","353293.5919","24.5636","1.3533437","103.6818659","24.5636",,,,"1.3533436666666667","103.68186591666667","26.6296",Pole Height,"2.0","2.066","1.0",2026-05-26 10:17:05.000,FIXED,"42.0","42.0",Smooth Point,"5.0","6.0E-4","6.0E-4","0.0042","0.01","0.8","0.7","0.7","11.0","1.3457911388888888","103.67997686111111","76.2458","862.6084",Not Set,"0.0","0.0","0.0","0°0000.0000","0°0000.0000",27
3,,Sniffer 3,"Code: <br>Northing: 149,704.506<br>Easting: 353,319.008<br>Elevation: 24.392<br>Latitude: 1.3535186<br>Longitude: 103.6820941<br>Altitude: 24.392<br>Station Correction x: <br>Station Correction y: <br>Station Correction h: <br>Original Latitude: 1.354<br>Original Longitude: 103.682<br>Original Altitude: 26.458<br>Measuring type: Pole Height<br>Measuring height: 2<br>Antenna Height: 2.066<br>AGE: 1<br>Local time: 2026-05-26 10:24:50.000<br>Solution Status: FIXED<br>Used satellites: 40<br>Tracked satellites: 40<br>Measurement Method: Smooth Point<br>Repeat Count: 5<br>N: 0.001<br>E: 0.001<br>HRMS: 0.004<br>VRMS: 0.01<br>PDOP: 0.8<br>HDOP: 0.7<br>VDOP: 0.7<br>Base ID: 11<br>Base Latitude: 1.346<br>Base Longitude: 103.68<br>Base Altitude: 76.246<br>Distance to Ref: 887.759<br>Inclination correction: Not Set<br>Pitch: 0<br>Roll: 0<br>Yaw: 0<br>Inclined angle: 0°0000.0000<br>Projected angle: 0°0000.0000",,,,,-1,0,-1,,,,"149704.5056","353319.0084","24.3921","1.3535186","103.6820941","24.3921",,,,"1.3535185833333332","103.68209413888889","26.4581",Pole Height,"2.0","2.066","1.0",2026-05-26 10:24:50.000,FIXED,"40.0","40.0",Smooth Point,"5.0","6.0E-4","6.0E-4","0.0042","0.01","0.8","0.7","0.7","11.0","1.3457911388888888","103.67997686111111","76.2458","887.7593",Not Set,"0.0","0.0","0.0","0°0000.0000","0°0000.0000",28
4,,Sniffer 4,"Code: <br>Northing: 149,677.845<br>Easting: 353,276.978<br>Elevation: 24.799<br>Latitude: 1.3532773<br>Longitude: 103.6817167<br>Altitude: 24.799<br>Station Correction x: <br>Station Correction y: <br>Station Correction h: <br>Original Latitude: 1.353<br>Original Longitude: 103.682<br>Original Altitude: 26.866<br>Measuring type: Pole Height<br>Measuring height: 2<br>Antenna Height: 2.066<br>AGE: 1<br>Local time: 2026-05-26 10:37:38.000<br>Solution Status: FIXED<br>Used satellites: 42<br>Tracked satellites: 43<br>Measurement Method: Smooth Point<br>Repeat Count: 5<br>N: 0.001<br>E: 0.001<br>HRMS: 0.004<br>VRMS: 0.01<br>PDOP: 0.8<br>HDOP: 0.7<br>VDOP: 0.7<br>Base ID: 11<br>Base Latitude: 1.346<br>Base Longitude: 103.68<br>Base Altitude: 76.246<br>Distance to Ref: 851.568<br>Inclination correction: Not Set<br>Pitch: 0<br>Roll: 0<br>Yaw: 0<br>Inclined angle: 0°0000.0000<br>Projected angle: 0°0000.0000",,,,,-1,0,-1,,,,"149677.8449","353276.9778","24.7995","1.3532773","103.6817167","24.7995",,,,"1.3532773333333332","103.68171669444445","26.8655",Pole Height,"2.0","2.066","1.0",2026-05-26 10:37:38.000,FIXED,"42.0","43.0",Smooth Point,"5.0","6.0E-4","6.0E-4","0.0042","0.01","0.8","0.7","0.7","11.0","1.3457911388888888","103.67997686111111","76.2458","851.568",Not Set,"0.0","0.0","0.0","0°0000.0000","0°0000.0000",27
5,,Sniffer 5,"Code: <br>Northing: 149,662.23<br>Easting: 353,294.78<br>Elevation: 24.711<br>Latitude: 1.3531363<br>Longitude: 103.6818767<br>Altitude: 24.711<br>Station Correction x: <br>Station Correction y: <br>Station Correction h: <br>Original Latitude: 1.353<br>Original Longitude: 103.682<br>Original Altitude: 26.777<br>Measuring type: Pole Height<br>Measuring height: 2<br>Antenna Height: 2.066<br>AGE: 1<br>Local time: 2026-05-26 10:42:54.000<br>Solution Status: FIXED<br>Used satellites: 42<br>Tracked satellites: 42<br>Measurement Method: Smooth Point<br>Repeat Count: 5<br>N: 0.001<br>E: 0.001<br>HRMS: 0.004<br>VRMS: 0.01<br>PDOP: 0.8<br>HDOP: 0.7<br>VDOP: 0.7<br>Base ID: 11<br>Base Latitude: 1.346<br>Base Longitude: 103.68<br>Base Altitude: 76.246<br>Distance to Ref: 840.716<br>Inclination correction: Not Set<br>Pitch: 0<br>Roll: 0<br>Yaw: 0<br>Inclined angle: 0°0000.0000<br>Projected angle: 0°0000.0000",,,,,-1,0,-1,,,,"149662.23","353294.7804","24.7107","1.3531363","103.6818767","24.7107",,,,"1.35313625","103.68187669444444","26.7767",Pole Height,"2.0","2.066","1.0",2026-05-26 10:42:54.000,FIXED,"42.0","42.0",Smooth Point,"5.0","6.0E-4","6.0E-4","0.0042","0.01","0.8","0.7","0.7","11.0","1.3457911388888888","103.67997686111111","76.2458","840.7163",Not Set,"0.0","0.0","0.0","0°0000.0000","0°0000.0000",27
6,,Sniffer 6,"Code: <br>Northing: 149,662.203<br>Easting: 353,294.79<br>Elevation: 25.116<br>Latitude: 1.353136<br>Longitude: 103.6818768<br>Altitude: 25.116<br>Station Correction x: <br>Station Correction y: <br>Station Correction h: <br>Original Latitude: 1.353<br>Original Longitude: 103.682<br>Original Altitude: 27.182<br>Measuring type: Pole Height<br>Measuring height: 2<br>Antenna Height: 2.066<br>AGE: 1<br>Local time: 2026-05-26 10:43:55.000<br>Solution Status: FIXED<br>Used satellites: 42<br>Tracked satellites: 42<br>Measurement Method: Smooth Point<br>Repeat Count: 5<br>N: 0<br>E: 0.001<br>HRMS: 0.004<br>VRMS: 0.009<br>PDOP: 0.8<br>HDOP: 0.7<br>VDOP: 0.7<br>Base ID: 11<br>Base Latitude: 1.346<br>Base Longitude: 103.68<br>Base Altitude: 76.246<br>Distance to Ref: 840.669<br>Inclination correction: Not Set<br>Pitch: 0<br>Roll: 0<br>Yaw: 0<br>Inclined angle: 0°0000.0000<br>Projected angle: 0°0000.0000",,,,,-1,0,-1,,,,"149662.2029","353294.7895","25.1157","1.353136","103.6818768","25.1157",,,,"1.353136","103.68187677777777","27.1817",Pole Height,"2.0","2.066","1.0",2026-05-26 10:43:55.000,FIXED,"42.0","42.0",Smooth Point,"5.0","4.0E-4","6.0E-4","0.0036","0.009","0.8","0.7","0.7","11.0","1.3457911388888888","103.67997686111111","76.2458","840.6687",Not Set,"0.0","0.0","0.0","0°0000.0000","0°0000.0000",27
