Point Name,Code,Northing,Easting,Elevation,Latitude,Longitude,Altitude,Station Correction x,Station Correction y,Station Correction h,Original Latitude,Original Longitude,Original Altitude,Measuring type,Measuring height,Antenna Height,AGE,Local time,Solution Status,Used satellites,Tracked satellites,Measurement Method,Repeat Count,N,E,HRMS,VRMS,PDOP,HDOP,VDOP,Base ID,Base Latitude,Base Longitude,Base Altitude,Distance to Ref,Inclination correction,Pitch,Roll,Yaw,Inclined angle,Projected angle
Pt1,,148557.7213,353115.5582,58.8309,1.3431495555555556,103.6802717777777778,58.8309,,,,1.3431495555555556,103.6802717777777778,60.8969,Pole Height,2.0000,2.0660,1,2026-06-25 11:52:21.000,FIXED,31,35,Smooth Point,5,0.0006,0.0008,0.0050,0.0130,0.9000,0.7200,0.7200,11,1.3457911388888889,103.6799768611111111,76.2458,294.3336,Not Set,0.00000000,0.00000000,0.00000000,0°0000.0000,0°0000.0000
Pt2,,148549.6889,353105.3164,58.7861,1.3430768888888889,103.6801798055555556,58.7861,,,,1.3430768888888889,103.6801798055555556,60.8521,Pole Height,2.0000,2.0660,1,2026-06-25 12:00:42.000,FIXED,41,43,Smooth Point,5,0.0006,0.0006,0.0042,0.0090,0.8000,0.7000,0.7000,11,1.3457911388888889,103.6799768611111111,76.2458,301.3730,Not Set,0.00000000,0.00000000,0.00000000,0°0000.0000,0°0000.0000
Pt3,,148540.0299,353099.0867,58.7691,1.3429895277777778,103.6801238888888889,58.7691,,,,1.3429895277777778,103.6801238888888889,60.8351,Pole Height,2.0000,2.0660,1,2026-06-25 12:03:57.000,FIXED,41,43,Smooth Point,5,0.0006,0.0006,0.0042,0.0090,0.8000,0.7000,0.7000,11,1.3457911388888889,103.6799768611111111,76.2458,310.6052,Not Set,0.00000000,0.00000000,0.00000000,0°0000.0000,0°0000.0000
Pt4,,148478.7801,353169.3798,54.7338,1.3424361111111111,103.6807556388888889,54.7338,,,,1.3424361111111111,103.6807556388888889,56.7998,Pole Height,2.0000,2.0660,1,2026-06-25 12:12:15.000,FIXED,44,46,Smooth Point,5,0.0006,0.0006,0.0042,0.0080,0.7000,0.6000,0.6000,11,1.3457911388888889,103.6799768611111111,76.2458,381.4723,Not Set,0.00000000,0.00000000,0.00000000,0°0000.0000,0°0000.0000
Pt5,,148480.5487,353175.4689,54.7480,1.3424521111111111,103.6808103333333333,54.7480,,,,1.3424521111111111,103.6808103333333333,56.8140,Pole Height,2.0000,2.0660,1,2026-06-25 12:16:26.000,FIXED,42,45,Smooth Point,5,0.0006,0.0006,0.0042,0.0090,0.8000,0.6000,0.6000,11,1.3457911388888889,103.6799768611111111,76.2458,381.1843,Not Set,0.00000000,0.00000000,0.00000000,0°0000.0000,0°0000.0000
