Point Name,Code,Northing,Easting,Elevation,Latitude,Longitude,Altitude,Station Correction x,Station Correction y,Station Correction h,Original Latitude,Original Longitude,Original Altitude,Measuring type,Measuring height,Antenna Height,AGE,Local time,Solution Status,Used satellites,Tracked satellites,Measurement Method,Repeat Count,N,E,HRMS,VRMS,PDOP,HDOP,VDOP,Base ID,Base Latitude,Base Longitude,Base Altitude,Distance to Ref,Inclination correction,Pitch,Roll,Yaw,Inclined angle,Projected angle
Pt1,,149660.0127,353327.8870,27.1691,1.3531163611111111,103.6821741111111111,27.1691,,,,1.3531163611111111,103.6821741111111111,29.2351,Pole Height,2.0000,2.0660,1,2026-05-19 16:24:35.000,FIXED,20,21,Smooth Point,5,0.0008,0.0012,0.0099,0.0256,1.4400,1.2800,1.2800,11,1.3457911388888889,103.6799768611111111,76.2458,847.4032,Not Set,0.00000000,0.00000000,0.00000000,0°0000.0000,0°0000.0000
Pt2,,149659.9509,353327.8106,27.1476,1.3531158055555556,103.6821734166666667,27.1476,,,,1.3531158055555556,103.6821734166666667,29.2136,Pole Height,2.0000,2.0660,3,2026-05-19 16:25:02.000,FIXED,34,34,Smooth Point,5,0.0006,0.0006,0.0042,0.0112,1.0000,0.9000,0.9000,11,1.3457911388888889,103.6799768611111111,76.2458,847.3232,Not Set,0.00000000,0.00000000,0.00000000,0°0000.0000,0°0000.0000
Pt3,,149656.3753,353279.1965,24.8786,1.3530832222222222,103.6817367222222222,24.8786,,,,1.3530832222222222,103.6817367222222222,26.9446,Pole Height,2.0000,2.0660,2,2026-05-19 16:27:22.000,FIXED,37,37,Smooth Point,5,0.0004,0.0006,0.0038,0.0116,0.9000,0.8000,0.8000,11,1.3457911388888889,103.6799768611111111,76.2458,831.2375,Not Set,0.00000000,0.00000000,0.00000000,0°0000.0000,0°0000.0000
Pt4,,149656.1543,353277.7070,24.8774,1.3530812222222222,103.6817233611111111,24.8774,,,,1.3530812222222222,103.6817233611111111,26.9434,Pole Height,2.0000,2.0660,1,2026-05-19 16:28:56.000,FIXED,37,38,Smooth Point,5,0.0004,0.0006,0.0036,0.0110,0.9000,0.8000,0.8000,11,1.3457911388888889,103.6799768611111111,76.2458,830.6728,Not Set,0.00000000,0.00000000,0.00000000,0°0000.0000,0°0000.0000
Pt5,,149683.7813,353292.2035,24.4775,1.3533310833333333,103.6818534444444444,24.4775,,,,1.3533310833333333,103.6818534444444444,26.5435,Pole Height,2.0000,2.0660,1,2026-05-19 16:30:14.000,FIXED,38,38,Smooth Point,5,0.0004,0.0006,0.0036,0.0110,0.9000,0.8000,0.8000,11,1.3457911388888889,103.6799768611111111,76.2458,860.9296,Not Set,0.00000000,0.00000000,0.00000000,0°0000.0000,0°0000.0000
Pt6,,149703.6134,353317.2582,24.4263,1.3535105000000000,103.6820784166666667,24.4263,,,,1.3535105000000000,103.6820784166666667,26.4923,Pole Height,2.0000,2.0660,1,2026-05-19 16:32:02.000,FIXED,36,37,Smooth Point,5,0.0004,0.0006,0.0041,0.0118,0.9600,0.8400,0.8400,11,1.3457911388888889,103.6799768611111111,76.2458,886.4348,Not Set,0.00000000,0.00000000,0.00000000,0°0000.0000,0°0000.0000
Pt7,,149682.5086,353335.5560,25.8726,1.3533197777777778,103.6822428888888889,25.8726,,,,1.3533197777777778,103.6822428888888889,27.9386,Pole Height,2.0000,2.0660,1,2026-05-19 16:35:15.000,FIXED,30,32,Smooth Point,5,0.0006,0.0008,0.0050,0.0130,1.1000,0.9000,0.9000,11,1.3457911388888889,103.6799768611111111,76.2458,871.1855,Not Set,0.00000000,0.00000000,0.00000000,0°0000.0000,0°0000.0000
Pt8,,149685.6334,353319.6519,24.7531,1.3533479722222222,103.6821000000000000,24.7531,,,,1.3533479722222222,103.6821000000000000,26.8191,Pole Height,2.0000,2.0660,1,2026-05-19 16:36:36.000,FIXED,38,38,Smooth Point,5,0.0004,0.0006,0.0043,0.0118,0.9000,0.8000,0.8000,11,1.3457911388888889,103.6799768611111111,76.2458,869.7716,Not Set,0.00000000,0.00000000,0.00000000,0°0000.0000,0°0000.0000
Pt9,,149690.6018,353294.3889,24.7783,1.3533927500000000,103.6818730277777778,24.7783,,,,1.3533927500000000,103.6818730277777778,26.8443,Pole Height,2.0000,2.0660,1,2026-05-19 16:38:26.000,FIXED,37,37,Smooth Point,5,0.0006,0.0006,0.0042,0.0120,0.9000,0.8000,0.8000,11,1.3457911388888889,103.6799768611111111,76.2458,868.0462,Not Set,0.00000000,0.00000000,0.00000000,0°0000.0000,0°0000.0000
